RowNumber,CustomerId_b,CreditScore_b,Tenure_b,Balance_b,NumOfProducts_b,HasCrCard_b,IsActiveMember_b,Exited_b,Known
288,15790678,475,8,119023.28,1,1,0,0,No
289,15727556,744,5,166297.89,1,1,1,0,No
290,15697307,588,10,0,2,1,0,0,No
291,15652266,703,9,63227,1,0,1,0,No
292,15607098,747,5,94521.17,2,1,0,0,No
293,15655774,583,7,0,2,1,0,0,No
294,15590241,750,9,112822.26,1,0,0,1,No
295,15785819,681,3,0,2,1,1,0,No
296,15723654,773,2,135903.33,1,1,0,0,No
297,15774510,714,4,125169.26,1,1,1,0,No
298,15684173,687,7,0,3,1,0,1,No
299,15650068,511,0,149117.31,1,1,1,0,No
300,15811490,627,5,0,2,1,1,0,No
301,15803976,694,10,0,2,1,0,0,No
302,15682541,616,6,132311.71,1,0,0,0,No
303,15695699,687,8,0,2,1,0,0,No
304,15624188,712,6,0,2,1,1,0,No
305,15812191,553,4,118082.89,1,0,0,0,No
306,15636673,667,1,119266.69,1,1,1,0,No
307,15594898,731,2,0,1,1,1,1,No
308,15660211,629,7,156847.29,2,1,0,0,No
309,15773972,614,4,137104.47,1,1,0,1,No
310,15746726,438,8,78398.69,1,1,0,0,No
311,15712287,652,4,0,2,1,1,0,No
312,15702919,729,6,63669.42,1,1,0,0,No
313,15674398,642,3,0,2,0,0,0,No
314,15797960,806,0,135296.33,1,1,0,0,No
315,15631868,744,2,153804.44,1,1,1,0,No
316,15581539,474,3,0,2,0,0,0,No
317,15662736,559,2,147069.78,1,1,0,1,No
318,15666252,706,9,0,2,1,1,0,No
319,15677512,628,3,0,1,1,0,0,No
320,15626114,429,4,95741.75,1,1,0,0,No
321,15810834,525,2,145965.33,1,1,1,0,No
322,15678910,680,8,141441.75,1,1,1,0,No
323,15694408,749,1,139290.41,1,1,0,1,No
324,15585215,763,4,0,2,0,0,0,No
325,15682757,734,3,0,2,1,0,0,No
326,15736601,716,4,144428.87,1,1,0,0,No
327,15601848,594,2,0,2,1,0,0,No
328,15736008,644,9,95441.27,1,1,0,1,No
329,15669064,671,1,144848.74,1,1,1,0,No
330,15624528,664,7,116244.14,2,1,1,0,No
331,15598493,656,7,0,2,0,1,0,No
332,15601274,667,1,146502.07,1,1,0,0,No
333,15702669,663,2,117028.6,2,0,1,0,No
334,15728669,584,8,112013.81,1,1,0,1,No
335,15742668,626,6,108269.37,1,1,0,0,No
336,15697441,485,7,182123.79,1,1,0,1,No
337,15740476,659,3,150923.74,2,0,1,0,No
338,15648064,649,2,0,2,1,0,0,No
339,15636624,805,5,165272.13,1,1,0,1,No
340,15807923,716,10,115301.31,1,1,0,1,No
341,15745844,642,6,129502.49,2,0,1,1,No
342,15786170,659,4,118342.26,1,0,0,0,No
343,15681081,545,5,0,2,1,1,0,No
344,15684484,543,8,0,2,0,0,0,No
345,15785869,718,7,0,2,1,0,0,No
346,15763859,840,7,0,2,1,0,0,No
347,15658935,630,9,106937.05,2,1,0,0,No
348,15747358,643,3,170331.37,1,1,1,0,No
349,15735203,654,1,114510.85,1,1,1,0,No
350,15576256,582,5,0,2,1,1,0,No
351,15659420,659,3,107594.11,2,1,1,0,No
352,15593365,762,2,81273.13,1,1,1,0,No
353,15777352,568,7,169399.6,1,1,0,0,No
354,15812007,670,6,0,2,1,1,0,No
355,15625461,613,1,187841.99,2,1,1,0,No
356,15739438,539,0,0,2,1,0,0,No
357,15611759,850,8,126776.3,2,1,1,0,No
358,15661629,522,9,126436.29,1,1,0,1,No
359,15633950,737,1,101960.74,1,1,1,0,No
360,15592386,520,3,0,2,0,1,0,No
361,15803716,706,3,0,2,0,1,0,No
362,15696674,643,2,150842.93,1,0,1,1,No
363,15706365,648,9,102535.57,1,1,1,0,No
364,15745088,443,9,99027.61,2,1,0,0,No
365,15676715,640,9,0,2,1,1,0,No
366,15613085,628,3,0,1,1,1,0,No
367,15633537,540,9,87271.41,2,1,0,0,No
368,15594720,460,8,102742.91,2,1,1,0,No
369,15684042,636,2,40105.51,2,0,1,0,No
370,15583303,593,2,152265.43,1,1,0,0,No
371,15611579,801,4,141947.67,1,1,1,0,No
372,15774696,640,1,106307.91,2,0,1,0,No
373,15694506,611,0,107884.81,2,1,1,0,No
374,15688074,802,1,125013.72,1,1,1,0,No
375,15759537,717,7,58469.37,2,1,1,0,No
376,15758449,769,8,0,1,0,1,0,No
377,15583456,745,10,117231.63,3,1,1,1,No
378,15667871,572,4,152390.26,1,1,0,0,No
379,15677371,629,2,34013.63,1,1,0,0,No
380,15629677,687,2,0,3,0,0,1,No
381,15713578,483,9,0,2,1,1,0,No
382,15591509,690,7,101583.11,2,1,0,0,No
383,15568240,492,10,77168.87,2,0,1,0,No
384,15622993,709,8,124695.72,2,1,0,0,No
385,15689294,705,3,105934.96,1,1,0,0,No
386,15720910,560,9,0,1,1,1,0,No
387,15721181,611,6,0,2,1,0,0,No
388,15776433,730,2,0,2,1,1,0,No
389,15748936,709,2,0,2,0,1,0,No
390,15717225,544,10,161525.96,2,1,0,0,No
391,15685226,712,7,147199.07,1,1,1,0,No
392,15785611,752,3,183102.29,1,1,1,0,No
393,15573456,648,9,127209,2,1,0,1,No
394,15684548,556,8,0,2,0,0,1,No
395,15620505,594,0,97378.54,1,1,1,0,No
396,15807432,645,2,136925.09,2,0,1,0,No
397,15584766,557,3,54503.55,1,1,1,0,No
398,15612187,547,8,155726.85,1,1,0,0,No
399,15762218,701,9,0,2,0,1,0,No
400,15646372,616,1,135842.41,1,1,0,1,No
401,15690452,605,1,63349.75,1,1,0,0,No
402,15747795,593,4,129499.42,1,1,1,0,No
403,15781589,751,8,0,2,0,1,0,No
404,15732674,443,6,70438.01,2,0,1,0,No
405,15642291,685,8,0,2,1,1,0,No
406,15692761,718,9,0,1,1,0,0,No
407,15578045,538,9,141434.04,1,0,0,1,No
408,15745354,611,4,0,2,1,0,0,No
409,15701376,668,10,152958.29,2,1,1,0,No
410,15691625,537,3,138306.34,1,1,0,0,No
411,15566594,709,10,0,2,0,0,0,No
412,15760431,850,1,0,2,1,1,0,No
413,15686302,745,3,124328.84,1,1,1,0,No
414,15801559,693,9,181461.48,3,1,1,1,No
415,15810432,795,8,0,2,1,0,0,No
416,15809616,626,8,0,2,0,0,0,No
417,15720559,487,5,110368.03,1,0,0,1,No
418,15695632,556,9,89588.35,1,1,1,0,No
419,15659843,643,6,0,2,0,0,0,No
420,15615624,605,6,0,2,0,0,0,No
421,15810418,756,3,115924.89,1,1,0,1,No
422,15716186,586,2,0,2,1,0,0,No
423,15674551,535,7,111756.5,1,1,0,1,No
424,15622834,678,4,0,1,1,0,0,No
425,15566111,596,9,0,1,1,0,0,No
426,15784597,648,9,162923.85,1,1,0,0,No
427,15652883,492,10,124576.65,2,1,0,0,No
428,15806964,702,0,80793.58,1,1,1,0,No
429,15576313,486,9,71340.09,1,1,0,0,No
430,15806467,568,1,99282.63,1,0,0,1,No
431,15597602,619,3,137946.39,1,1,1,1,No
432,15743040,724,2,127892.57,2,0,1,0,No
433,15705521,548,0,101084.36,1,1,0,0,No
434,15595039,545,8,114754.08,1,1,0,1,No
435,15799384,683,8,0,1,0,0,0,No
436,15581197,762,3,99286.98,1,0,1,0,No
437,15693737,627,4,79871.02,2,1,0,0,No
438,15624623,516,10,104088.59,2,0,0,0,No
439,15783501,800,2,168190.33,2,1,0,0,No
440,15690134,464,3,85679.25,1,1,1,0,No
441,15782735,626,3,0,1,0,0,0,No
442,15611088,790,9,0,2,1,0,0,No
443,15672145,534,7,121551.58,2,1,1,0,No
444,15732628,745,2,122220.19,1,1,1,0,No
445,15787470,553,3,116528.15,1,0,0,1,No
446,15803406,748,1,77780.29,1,0,1,0,No
447,15730460,722,2,0,1,0,0,0,No
448,15644572,501,4,125832.2,1,1,1,0,No
449,15694860,675,6,68065.8,1,0,0,1,No
450,15658169,778,6,127299.34,2,1,0,0,No
451,15794396,494,7,174937.64,1,1,0,0,No
452,15785798,850,9,0,2,0,1,0,No
453,15710825,592,7,110071.1,1,0,0,0,No
454,15668444,590,3,139432.37,1,1,0,0,No
455,15726631,758,6,127357.76,1,0,1,0,No
456,15733797,506,5,0,2,1,0,0,No
457,15747960,733,3,0,1,1,1,0,No
458,15634632,711,3,0,2,1,0,0,No
459,15707362,514,1,95556.31,1,0,1,1,No
460,15662976,637,8,0,1,1,1,0,No
461,15732778,468,1,111681.98,2,1,1,0,No
462,15718443,539,3,0,2,1,0,0,No
463,15670039,509,3,108738.71,2,1,0,0,No
464,15773792,662,4,133950.37,1,1,1,1,No
465,15613786,818,4,0,2,1,1,0,No
466,15726032,608,9,89968.69,1,1,0,0,No
467,15663252,850,9,0,2,1,1,0,No
468,15593782,816,5,130878.75,3,1,0,1,No
469,15633283,536,8,0,2,1,0,0,No
470,15749167,753,3,0,2,1,1,0,No
471,15759298,631,10,134169.62,1,1,1,0,No
472,15683625,703,1,149762.08,1,1,0,1,No
473,15635367,774,2,93844.69,1,1,0,0,No
474,15681705,785,8,0,2,1,0,0,No
475,15603156,571,1,0,2,1,0,0,No
476,15591986,621,6,141078.37,1,0,0,1,No
477,15798888,605,1,117992.59,1,1,1,0,No
478,15809722,611,8,100812.33,2,1,0,0,No
479,15677538,569,7,0,1,1,1,0,No
480,15797736,658,4,80262.6,1,1,1,0,No
481,15695585,788,6,156478.62,1,0,1,0,No
482,15744398,525,5,0,2,1,0,0,No
483,15750658,798,8,0,3,0,0,0,No
484,15578186,486,9,115217.99,2,1,0,0,No
485,15676519,615,9,0,2,1,0,1,No
486,15637954,730,0,155470.55,1,1,1,0,No
487,15758639,641,7,0,2,1,0,0,No
488,15613772,542,3,135096.77,1,1,1,1,No
489,15731744,692,2,0,2,0,1,0,No
490,15807709,714,9,180075.22,1,1,1,0,No
491,15714689,591,1,97541.24,1,1,1,0,No
492,15699005,710,2,156067.05,1,1,1,0,No
493,15624170,639,4,81550.94,2,0,1,0,No
494,15725679,531,6,0,1,0,0,1,No
495,15585865,673,2,170061.92,2,0,0,1,No
496,15804256,765,8,92310.54,2,1,1,0,No
497,15662403,622,6,169089.38,2,1,0,0,No
498,15733616,806,5,80613.93,1,1,1,0,No
499,15591995,757,8,121581.56,2,1,1,0,No
500,15677020,570,8,0,1,0,1,1,No
501,15727688,555,4,0,2,1,1,0,No
502,15715941,692,5,0,2,1,1,0,No
503,15714485,774,5,85891.55,1,1,0,1,No
504,15730059,638,9,77637.35,2,1,1,0,No
505,15715527,543,4,0,1,0,0,0,No
506,15576623,584,5,0,2,1,0,0,No
507,15805565,691,7,116927.89,1,1,0,0,No
508,15677307,684,6,137326.65,1,1,0,0,No
509,15773890,733,5,0,2,1,1,0,No
510,15598883,599,2,0,2,1,1,0,No
511,15568506,524,10,67238.98,2,1,1,0,No
512,15761043,632,6,86569.76,2,1,0,0,No
513,15782236,735,5,0,2,0,0,0,No
514,15593601,734,6,133598.4,1,1,1,0,No
515,15682048,605,3,136188.78,1,1,1,1,No
516,15746902,793,9,0,2,1,0,0,No
517,15752081,468,10,0,3,0,1,1,No
518,15781307,779,7,120092.52,2,1,0,0,No
519,15775912,698,4,101238.24,2,0,1,1,No
520,15745417,707,6,89685.92,1,0,1,0,No
521,15671256,850,1,211774.31,1,1,0,1,No
522,15653547,850,7,131317.48,1,1,1,0,No
523,15595766,527,5,93722.73,2,1,1,0,No
524,15742358,696,8,101160.99,1,1,1,0,No
525,15763274,661,3,120320.54,1,0,0,0,No
526,15786063,776,2,0,2,1,1,0,No
527,15600258,701,2,0,2,1,1,0,No
528,15573318,610,8,0,2,1,0,0,No
529,15653849,572,3,152827.99,1,1,0,1,No
530,15694272,673,1,64097.75,1,1,1,0,No
531,15736112,519,2,119035.35,2,1,1,0,No
532,15749851,702,4,135219.57,1,0,1,0,No
533,15663478,729,6,93694.42,1,1,1,0,No
534,15592300,543,10,59408.63,1,1,0,0,No
535,15567832,550,7,114354.95,1,1,0,0,No
536,15776780,608,1,0,1,1,0,1,No
537,15592846,639,10,128173.9,2,1,0,0,No
538,15739803,686,9,0,2,1,0,0,No
539,15794142,564,5,114931.35,3,0,1,1,No
540,15762729,745,1,111071.36,1,1,0,1,No
541,15667896,833,8,151226.18,2,1,1,0,No
542,15626578,622,9,0,2,1,1,0,No
543,15776223,597,4,64740.12,1,1,1,0,No
544,15705953,721,0,169312.13,1,1,0,1,No
545,15802593,504,7,0,3,0,1,1,No
546,15615457,842,2,112652.08,2,1,0,0,No
547,15708916,587,0,0,2,1,0,0,No
548,15720187,479,7,143964.36,2,1,0,0,No
549,15595440,508,7,122451.46,2,1,1,0,No
550,15600651,749,1,0,3,1,1,0,No
551,15750141,721,3,65253.07,2,1,0,0,No
552,15657284,674,6,106901.94,1,1,1,1,No
553,15763063,685,10,128509.63,1,1,0,0,No
554,15709324,417,7,0,2,1,0,0,No
555,15711309,574,3,129834.67,1,1,0,0,No
556,15775318,590,3,154962.99,3,0,1,1,No
557,15705515,587,5,138241.9,2,1,0,0,No
558,15634844,598,3,91536.93,1,1,0,1,No
559,15717046,741,3,0,2,1,1,0,No
560,15571816,850,5,0,1,1,1,0,No
561,15670080,584,7,105204.01,1,0,1,0,No
562,15800440,650,1,152968.73,1,0,1,0,No
563,15665678,607,8,158261.68,1,1,1,0,No
564,15665956,509,1,0,1,1,0,1,No
565,15788126,689,6,121021.05,1,1,1,0,No
566,15811773,543,4,0,2,1,1,0,No
567,15651674,438,2,0,1,0,0,1,No
568,15689614,687,1,137715.66,1,1,1,0,No
569,15795564,737,5,121192.22,2,1,1,0,No
570,15706647,761,7,0,3,1,1,0,No
571,15728505,601,1,100486.18,2,1,1,0,No
572,15730076,651,1,0,1,1,0,1,No
573,15622003,745,9,92566.53,2,1,0,0,No
574,15607312,648,10,0,2,1,1,1,No
575,15644753,848,3,110929.96,1,1,1,0,No
576,15653620,546,8,0,2,1,1,0,No
577,15761986,439,3,138901.61,1,1,0,0,No
578,15633922,755,4,123217.66,2,0,1,0,No
579,15734674,593,6,0,1,1,0,0,No
580,15658032,701,2,0,2,1,1,0,No
